devEUI,deviceName,timestamp,fCnt,gatewayID,loRaSNR,rssi,frequency,dr,latitude,longitude,altitude,battery,humidity,pressure,temperature,gas_resistance,acc_x,acc_y,acc_z
ac1f09fffe044ddc,RAK5205-1,1621019075,216,ac1f09fffe0468cf,7.5,-58,867500000,5,47.8924,1.8946,117.5,3.81,57,1000.7,17.5,32.33,-0.027,0.97,-0.022
ac1f09fffe044ddc,RAK5205-1,1621019123,217,ac1f09fffe0468cf,9.3,-58,867700000,5,47.8925,1.8945,125.7,3.82,56.5,1000.7,17.5,31.44,-0.027,0.971,-0.028
ac1f09fffe044ddc,RAK5205-1,1621019165,218,ac1f09fffe0468cf,8.8,-54,868500000,5,47.8924,1.8943,147.2,3.81,57,1000.7,17.5,31.89,-0.028,0.969,-0.017
ac1f09fffe044ddc,RAK5205-1,1621019215,219,ac1f09fffe0468cf,7.5,-58,867500000,5,47.8922,1.8947,123.9,4.21,56.5,1000.7,17.5,31.09,-0.025,0.973,-0.018
ac1f09fffe044ddc,RAK5205-1,1621019255,220,ac1f09fffe0468cf,9.8,-57,868300000,5,47.8923,1.8947,123,3.82,57,1000.8,17.5,31.8,-0.028,0.97,-0.027
ac1f09fffe044ddc,RAK5205-1,1621019303,221,ac1f09fffe0468cf,10.8,-56,868300000,5,47.8925,1.8945,124.6,4.21,57,1000.7,17.5,31,-0.025,0.972,-0.027
ac1f09fffe044ddc,RAK5205-1,1621019345,222,ac1f09fffe0468cf,10.8,-57,868300000,5,47.8924,1.8948,117.6,3.81,57,1000.8,17.5,31.28,-0.028,0.969,-0.023
ac1f09fffe044ddc,RAK5205-1,1621019393,223,ac1f09fffe0468cf,7.5,-56,868500000,5,47.8924,1.8945,125.6,3.66,57,1000.8,17.5,30.93,-0.026,0.968,-0.033
ac1f09fffe044ddc,RAK5205-1,1621019435,224,ac1f09fffe0468cf,8.8,-57,867900000,5,47.8924,1.8949,110.3,4.21,57,1000.7,17.4,31.58,-0.03,0.971,-0.025
ac1f09fffe044ddc,RAK5205-1,1621019489,225,ac1f09fffe0468cf,10,-59,867900000,5,47.8925,1.895,92,4.21,57,1000.8,17.4,30.46,-0.025,0.972,-0.022
ac1f09fffe044ddc,RAK5205-1,1621019544,226,ac1f09fffe0468cf,10.5,-57,868300000,5,47.8924,1.8948,117.2,4.21,57,1000.8,17.5,30.16,-0.029,0.967,-0.025
ac1f09fffe044ddc,RAK5205-1,1621019585,227,ac1f09fffe0468cf,8.3,-55,868500000,5,47.8923,1.8947,119,3.81,57,1000.8,17.5,31.09,-0.028,0.966,-0.025
ac1f09fffe044ddc,RAK5205-1,1621019635,228,ac1f09fffe0468cf,8,-54,868500000,5,47.8926,1.895,128.2,4.21,57,1000.8,17.4,30.73,-0.028,0.973,-0.022
ac1f09fffe044ddc,RAK5205-1,1621019675,229,ac1f09fffe0468cf,7.5,-58,867500000,5,47.8924,1.8948,118.9,3.82,57,1000.8,17.4,31.49,-0.027,0.969,-0.024
ac1f09fffe044ddc,RAK5205-1,1621019723,230,ac1f09fffe0468cf,7.3,-58,867500000,5,47.8925,1.895,106.2,3.82,57,1000.8,17.4,31,-0.027,0.966,-0.021
ac1f09fffe044ddc,RAK5205-1,1621019765,231,ac1f09fffe0468cf,10,-58,867700000,5,47.8926,1.8951,93.7,4.21,57,1000.9,17.4,31.46,-0.029,0.969,-0.025
ac1f09fffe044ddc,RAK5205-1,1621019813,232,ac1f09fffe0468cf,7.5,-58,867500000,5,47.8925,1.895,103,4.21,57,1000.9,17.4,31.07,-0.028,0.969,-0.023
ac1f09fffe044ddc,RAK5205-1,1621019855,233,ac1f09fffe0468cf,7.3,-58,867500000,5,47.8923,1.8948,128,4.21,57.5,1000.9,17.4,31.37,-0.028,0.969,-0.023
ac1f09fffe044ddc,RAK5205-1,1621019909,234,ac1f09fffe0468cf,9,-58,867900000,5,47.8925,1.8949,101.1,3.82,57,1000.9,17.4,30.48,-0.029,0.968,-0.031
ac1f09fffe044ddc,RAK5205-1,1621019945,235,ac1f09fffe0468cf,10,-58,867700000,5,47.8924,1.8948,112.5,3.81,57.5,1000.9,17.4,32.04,-0.026,0.967,-0.026
ac1f09fffe044ddc,RAK5205-1,1621019993,236,ac1f09fffe0468cf,10.5,-56,867700000,5,47.8926,1.8951,83.1,4.21,57.5,1000.9,17.3,31.28,-0.025,0.965,-0.03
ac1f09fffe044ddc,RAK5205-1,1621020035,237,ac1f09fffe0468cf,6.8,-58,867500000,5,47.8924,1.8948,122.1,3.81,57.5,1000.8,17.3,31.65,-0.028,0.973,-0.012
ac1f09fffe044ddc,RAK5205-1,1621020083,238,ac1f09fffe0468cf,7.8,-58,867500000,5,47.8924,1.8948,122.4,4.21,57.5,1000.9,17.3,31.18,-0.028,0.969,-0.022
ac1f09fffe044ddc,RAK5205-1,1621020125,239,ac1f09fffe0468cf,7.8,-58,867500000,5,47.8923,1.8946,137.5,4.21,57.5,1000.9,17.3,31.68,-0.029,0.969,-0.023
ac1f09fffe044ddc,RAK5205-1,1621020173,240,ac1f09fffe0468cf,7,-59,867500000,5,47.8924,1.8948,128.3,4.21,57.5,1000.8,17.3,31.14,-0.028,0.967,-0.025
ac1f09fffe044ddc,RAK5205-1,1621020215,241,ac1f09fffe0468cf,9.5,-57,867900000,5,47.8925,1.895,95.7,3.81,57.5,1000.9,17.3,31.53,-0.026,0.971,-0.027
ac1f09fffe044ddc,RAK5205-1,1621020265,242,ac1f09fffe0468cf,9.8,-57,868100000,5,47.8923,1.8945,127.9,3.81,57.5,1000.9,17.3,31.05,-0.029,0.964,-0.026
ac1f09fffe044ddc,RAK5205-1,1621020305,243,ac1f09fffe0468cf,9.3,-58,867700000,5,47.8924,1.8948,115.3,3.81,57.5,1000.9,17.4,31.7,-0.026,0.969,-0.022
ac1f09fffe044ddc,RAK5205-1,1621020359,244,ac1f09fffe0468cf,7.8,-55,868500000,5,47.8924,1.8948,111.2,3.81,57,1000.9,17.4,30.42,-0.025,0.967,-0.033
ac1f09fffe044ddc,RAK5205-1,1621020395,245,ac1f09fffe0468cf,7.8,-58,867500000,5,47.8924,1.8949,105.9,4.21,57.5,1000.9,17.4,32.04,-0.027,0.971,-0.026
ac1f09fffe044ddc,RAK5205-1,1621020443,246,ac1f09fffe0468cf,9.3,-57,868100000,5,47.8924,1.8947,124.3,3.66,57,1000.9,17.4,31,-0.029,0.969,-0.017
ac1f09fffe044ddc,RAK5205-1,1621020485,247,ac1f09fffe0468cf,9.3,-55,868300000,5,47.8925,1.8949,113.9,4.21,57.5,1000.9,17.4,31.21,-0.027,0.967,-0.021
ac1f09fffe044ddc,RAK5205-1,1621020546,248,ac1f09fffe0468cf,11,-56,868300000,5,47.8924,1.8948,114.1,3.81,57,1000.9,17.4,29.54,-0.03,0.968,-0.027
ac1f09fffe044ddc,RAK5205-1,1621020595,249,ac1f09fffe0468cf,7,-55,868500000,5,47.8921,1.8941,126.2,3.82,57,1000.9,17.4,29.77,-0.026,0.968,-0.019
ac1f09fffe044ddc,RAK5205-1,1621020635,250,ac1f09fffe0468cf,7.5,-57,867500000,5,47.8924,1.8949,108.5,4.21,57.5,1000.9,17.4,30.95,-0.026,0.971,-0.025
ac1f09fffe044ddc,RAK5205-1,1621020683,251,ac1f09fffe0468cf,8,-57,867500000,5,47.8924,1.8948,114.4,4.21,57,1001,17.4,30.4,-0.022,0.967,-0.03
ac1f09fffe044ddc,RAK5205-1,1621020725,252,ac1f09fffe0468cf,7.8,-59,867500000,5,47.8925,1.895,86.8,4.21,57.5,1001,17.4,31,-0.025,0.966,-0.029
ac1f09fffe044ddc,RAK5205-1,1621020773,253,ac1f09fffe0468cf,9.3,-58,868100000,5,47.8924,1.8948,123.7,3.65,57,1000.9,17.4,30.73,-0.029,0.968,-0.029
ac1f09fffe044ddc,RAK5205-1,1621020840,254,ac1f09fffe0468cf,9.8,-61,868300000,5,47.8921,1.8942,163.9,3.82,57,1000.9,17.5,29.11,-0.026,0.97,-0.029
ac1f09fffe044ddc,RAK5205-1,1621020902,255,ac1f09fffe0468cf,7.5,-58,868500000,5,47.8925,1.895,97.9,4.22,57,1001,17.5,28.58,-0.024,0.967,-0.031
ac1f09fffe044ddc,RAK5205-1,1621020953,256,ac1f09fffe0468cf,9.3,-63,867700000,5,47.8924,1.8947,132.9,4.21,57,1000.9,17.5,29.09,-0.033,0.97,-0.029
ac1f09fffe044ddc,RAK5205-1,1621020995,257,ac1f09fffe0468cf,9.8,-57,868300000,5,47.8924,1.8949,112.9,3.81,57,1001,17.5,30.35,-0.025,0.968,-0.028
ac1f09fffe044ddc,RAK5205-1,1621021043,258,ac1f09fffe0468cf,9.8,-59,868100000,5,47.8924,1.8948,123.8,4.21,57.5,1001,17.4,30.2,-0.022,0.964,-0.029
ac1f09fffe044ddc,RAK5205-1,1621021085,259,ac1f09fffe0468cf,9.3,-59,868100000,5,47.8922,1.8945,139,4.22,57.5,1001,17.4,30.75,-0.026,0.965,-0.026
ac1f09fffe044ddc,RAK5205-1,1621021141,260,ac1f09fffe0468cf,9.8,-62,867700000,5,47.8924,1.8947,123.6,3.81,57,1001,17.4,29.73,-0.026,0.97,-0.027
ac1f09fffe044ddc,RAK5205-1,1621021194,261,ac1f09fffe0468cf,10.3,-58,868300000,5,47.8924,1.8948,120.2,3.81,57,1001,17.4,29.34,-0.029,0.971,-0.03
ac1f09fffe044ddc,RAK5205-1,1621021235,262,ac1f09fffe0468cf,10.8,-61,867900000,5,47.8924,1.8949,106.3,3.81,57.5,1001,17.4,30.62,-0.026,0.966,-0.03
ac1f09fffe044ddc,RAK5205-1,1621021283,263,ac1f09fffe0468cf,9.3,-64,867900000,5,47.8925,1.8949,95,4.21,57,1001,17.4,30.16,-0.027,0.972,-0.032
